Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids,Energy(Kcal),Protein(g),Total fat(g),Carbohydrates(g),Total Dietary Fibre(g),Vitamin A(µg),Vitamin D(µg),Viatmin K(µg),Vitamin E(mg),Calcium(mg),Phosphorus(mg),Magnesium(mg),Sodium(mg),Potassium(mg),Saturated Fatty Acids(mg),Monounsaturated Fatty Acids(mg),Polyunsaturated Fatty Acids(mg),Free sugar(g),Starch(g),Meal Time
Kiribath,Seeni Sambol,Kiribath with Seeni Sambol,"Rice,  Coconut milk,  Salt, Onion,  Sugar,  chillii","50.0, 30.0, 2.5, 50.0, 5.0, 5.0","SLA009, SLI006, SLK016, SLK004",633,4.32,51.06,38.795,1.59,0,0,1.335,0.045,2.365,97.5,15.85,0.805,84.5,321.04,295.315,332.135,0.09,37.745,Breakfast
Kiribath,Chicken Curry,Kiribath with Chicken Curry,"Rice,  Coconut milk,  Salt, Chicken,  Spices","50.0, 40.0, 2.5, 40.0, 5.0","SLA009, SLI006, SLH006, SLK004",721,15.89,55.68,38.795,1.59,3.44,0,17.16,0.16,9.895,186,25.94,16.015,235.5,710.04,787.315,509.635,0.09,37.745,Breakfast
Pittu,Lunu Miris,Pittu with Lunu Miris,"Rice flour,  Coconut,  Water, Onion,  Chili,  Salt","25.0, 25.0, 10.0, 20.0, 50.0, 30.0","SLA010, SLI005, , SLK016, SLE027, SLK011",194,6.075,16.4025,28.6825,5.8825,0.1075,0.5475,2.45,1.3625,19.505,115.7575,35.0325,7.53,313.23,10936.8775,1011.2725,467.0325,3.51,22.58,Breakfast
Lamprais,Chicken Curry,Lamprais with Chicken Curry,"Rice,  Meat,  Spices, Chicken,  Coconut milk","100.0, 30.0, 15.0, 40.0, 10.0","SLA008, SLH009, SLK004, SLH006, SLI006",1444,31.61,111.08,79.41,1.17,6.88,0,34.21,0.31,21.63,340,42.36,32.51,457,1495.08,1384.63,900.27,0.14,76.06,Lunch/Dinner
Lamprais,Chicken Curry,Lamprais with Chicken Curry,"Rice,  Meat,  Spices, Chicken,  Coconut milk","100.0, 30.0, 15.0, 40.0, 10.0","SLA008, SLH009, SLK004, SLH006, SLI006",1444,31.61,111.08,79.41,1.17,6.88,0,34.21,0.31,21.63,340,42.36,32.51,457,1495.08,1384.63,900.27,0.14,76.06,Lunch/Dinner
String Hoppers,Chicken Curry,String Hoppers with Chicken Curry,"Rice flour,  Water,  Salt, Chicken,  Coconut milk,  Spices","25.0, 10.0, 0.5, 40.0, 10.0, 5.0","SLA010, SLH006, SLI006, SLK004",359.25,8.255,27.69,19.1675,0.59,1.72,0,8.625,0.0775,5.5,81.75,11.6175,7.9925,97.48,334.77,328.6575,213.8175,0.02,18.6575,Breakfast/Dinner
String Hoppers,Pol Sambol,String Hoppers with Pol Sambol,"Rice flour,  Water,  Salt, Coconut,  Chili","25.0, 10.0, 0.5, 20.0, 5.0","SLA010, SLI005, SLK004, SLK016, SLE027, SLK011",419,6.075,41.4025,28.6825,5.8825,0.1075,0.5475,2.45,1.3625,19.505,115.7575,35.0325,7.53,313.23,10959.6475,1013.18,467.35,3.51,22.58,Breakfast/Dinner
String Hoppers,Parippu,String Hoppers with Parippu,"Rice flour,  Water,  Salt, Dhal,  Coconut milk,  Spices, Termeric powder","25.0, 10.0, 0.5, 10.0, 10.0, 5.0, 0.25","SLA010, SLC001, SLI006, SLK004, SLK019",467.25,9.365,27.97,43.55,9.8125,8.99,4.49,4.58,0.85,41.93,189.25,93.0725,12.0875,862.98,686.27,397.4075,1229.8175,0.4975,39.4175,Breakfast/Dinner
String Hoppers,Jackfruit Curry,String Hoppers with Jackfruit Curry,"Rice flour,  Water,  Salt, Jackfruit,  Coconut milk,  Spices, curry leaves","25.0, 10.0, 0.5, 15.0, 10.0, 5.0, 0.25","SLA010, SLE024, SLI006, SLK004, SLK009",347.75,5.0925,25.675,23.2925,6.0375,348.2875,31.4625,69.735,0.51,178.83,56.625,60.47,5.7125,239.48,212.125,104.42,269.4075,3.2275,19.5275,Breakfast/Dinner
String Hoppers,Chicken Curry,String Hoppers with Chicken Curry,"Rice flour,  Water,  Salt, Chicken,  Coconut milk,  Spices","25.0, 10.0, 0.5, 40.0, 10.0, 5.0","SLA010, SLH006, SLI006, SLK004",359.25,8.255,27.69,19.1675,0.59,1.72,0,8.625,0.0775,5.5,81.75,11.6175,7.9925,97.48,334.77,328.6575,213.8175,0.02,18.6575,Breakfast/Dinner
String Hoppers,Potato Curry,String Hoppers with Potato Curry,"Rice flour,  Water,  Salt, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder","25.0, 10.0, 0.5, 20.0, 30.0, 10.0, 5.0, 2.0","SLA010, SLB006, SLI006, SLK004, SLK009, SKL019",347.5,4.685,25.7025,23.6925,5.5875,347.25,31.2975,68.3375,0.5075,174.1925,68.1025,58.5325,6.3225,307.73,214.58,97.3525,294.0675,0.26,22.2375,Breakfast/Dinner
String Hoppers,Cuttlefish Curry,String Hoppers with Cuttlefish Curry,"Rice flour,  Water,  Salt, Cuttlefish,  Coconut milk,  Spices","25.0, 10.0, 0.5, 50.0, 25.0, 10.0","SLA010, SLF019, SLI006, SLK004",338,6.48,26.1,19.1675,0.59,3.0075,0,1.3275,0.04,3.645,76,12.795,17.0275,92.48,431.77,253.6575,310.3175,0.02,18.6575,Breakfast/Dinner
String Hoppers,Thalapath Fish Curry,String Hoppers with Thalapath Fish Curry,"Rice flour,  Water,  Salt, Thalapath fish,  Coconut milk,  Spices","25.0, 10.0, 0.5, 50.0, 25.0, 10.0","SLA010, SLF006, SLI006, SLK004",315.25,2.47,25.38,19.1675,0.59,0,0,0.7125,0.02,1.735,37.5,6.5725,0.3875,21.98,140.27,82.6575,125.0675,0.02,18.6575,Breakfast/Dinner
String Hoppers,Egg Curry,String Hoppers with Egg Curry,"Rice flour,  Water,  Salt, Egg,  Coconut milk,  Chillies","25.0, 10.0, 0.5, 50.0, 25.0, 10.0","SLA010, SLH001,  SLI005, SLK002",142.5,6.325,3.82,20.48,1.65,61.54,2.1875,22.5325,0.605,19.3325,101.9575,18.56,40.3725,145.98,1098,1355.035,651,0.27,19.1375,Breakfast/Dinner
String Hoppers,Prawn Curry,String Hoppers with Prawn Curry,"Rice flour,  Water,  Salt, Prawn,  Coconut milk,  Chillies","25.0, 10.0, 0.5, 50.0, 25.0, 10.0","SLA010, SLF043,  SLI005, SLK002",116.25,6.7525,0.71,20.48,1.65,9.85,1.805,7.275,0.84,16.25,99.7075,27.2825,48.1225,151.98,180.25,108.9175,260.5,0.27,19.1375,Breakfast/Dinner
String Hoppers,Kochchi Sambol,String Hoppers with Kochchi Sambol,"Rice flour,  Water,  Salt, Green chili,  Coconut","25.0, 10.0, 0.5, 10.0, 30.0","SLA010, SLK002, SLI005",163.75,4.8625,16.3675,22.7175,5.56,9.54,1.0725,7.205,1.4,15.2975,102.7075,35.905,5.375,277.73,10908,1004.785,474.5,1.8775,19.1375,Breakfast/Dinner
String Hoppers,Coconut Sambol,String Hoppers with Coconut Sambol,"Rice flour,  Water,  Salt, Coconut,  Chili,  Onion","25.0, 10.0, 0.5, 50.0, 15.0, 20.0","SLA010, SLI005,  SLK002, SLD060",160.75,4.795,16.2425,22.2475,5.82,0,1.005,68.635,1.78,19.0375,96.2025,45.415,9.0025,273.48,10899.0025,997.12,388.9475,1.7475,18.9325,Breakfast/Dinner
String Hoppers,Kiri Hodi,String Hoppers with Kiri Hodi,"Rice flour,  Water,  Salt, Coconut milk","25.0, 10.0, 0.5, 60.0","SLA010, SLI005",154,4.2925,16.1775,21.405,4.5,0,0,1.385,1.34,10.235,87.75,26.6775,4.64,182.98,10875.5,995.75,364,1.6275,18.6575,Breakfast/Dinner
String Hoppers,Maalu Badun,String Hoppers with Maalu Badun,"Rice flour,  Water,  Salt, Fish,  Oil","25.0, 10.0, 0.5, 90.0, 15.0","SLA010, SLF035, SLJ002",343.25,8.595,25.74,19.1675,0.59,4.1625,0.815,3.62,0.1625,4.19,110.5,15.535,13.61,111.23,305.27,157.6575,268.8175,0.02,18.6575,Breakfast/Dinner
String Hoppers,Spicy Crab,String Hoppers with Spicy Crab,"Rice flour,  Water,  Salt, Crab,  Oil,  chillies","25.0, 10.0, 0.5, 70.0, 20.0, 10.0","SLA010, SLF045, SLJ002, SLK002",336.25,5.54,25.7075,20.48,1.65,11.6225,1.4825,6.79,0.665,57.0475,90.7075,27.53,77.3725,173.48,196.5475,108.35,267.8175,0.27,19.1375,Breakfast/Dinner
Vegetable Fried Rice,Chicken Curry,Vegetable Fried Rice with Chicken Curry,"Rice,  Vegetables, onion,  Spices, curry leaves, Chicken,  Coconut milk","100.0, 20.0, 20.0, 15.0, 3.0, 2.5, 40.0","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009, SLH006",1559,41.66,112.83,90.83,29.11,2635.88,130.2,589.51,4.19,764.49,471.88,313.01,121.4,1671,1924.84,1455.3,1791.06,4.47,81.32,Lunch/Dinner
Vegetable Fried Rice,Parippu,Vegetable Fried Rice with Parippu,"Rice,  Vegetables, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder","100.0, 20.0, 20.0, 15.0, 3.0, 2.5, 10.0, 5.0","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009, SLC001, SLK019",1991,46.1,113.95,188.36,66,2664.96,148.16,573.33,7.28,910.21,901.88,638.83,137.78,4733,3330.84,1730.3,5855.06,6.38,164.36,Lunch/Dinner
Vegetable Fried Rice,Wambatu Moju,Vegetable Fried Rice with Wambatu Moju,"Rice,  Vegetables, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause","100.0, 20.0, 25.0, 5.5, 3.0, 2.5, 20.0, 10.0","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009, SLD017, SLD084",1383,18.52,103.59,90.83,29.11,2629,130.2,557.86,3.96,749.43,294.88,292.83,90.98,1369,1146.84,471.3,1436.06,4.47,81.32,Lunch/Dinner
Vegetable Fried Rice,Chicken Curry,Vegetable Fried Rice with Chicken Curry,"Rice,  Vegetables, onion,  Spices, curry leaves, Chicken,  Coconut milk","100.0, 20.0, 20.0, 15.0, 3.0, 2.5, 40.0","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009, SLH006",1559,41.66,112.83,90.83,29.11,2635.88,130.2,589.51,4.19,764.49,471.88,313.01,121.4,1671,1924.84,1455.3,1791.06,4.47,81.32,Lunch/Dinner
Vegetable Fried Rice,Devilled Chicken,Vegetable Fried Rice with Devilled Chicken,"Rice,  Vegetables, onion,  Spices, curry leaves, Chicken,  Chili,  Curry leaves, salt, Onion","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 10.0, 5.0, 0.25","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009, SLH006",1559,41.66,112.83,90.83,29.11,2635.88,130.2,589.51,4.19,764.49,471.88,313.01,121.4,1671,1924.84,1455.3,1791.06,4.47,81.32,Lunch/Dinner
Vegetable Fried Rice,Devilled Fish,Vegetable Fried Rice with Devilled Fish,"Rice,  Vegetables, onion,  Spices, curry leaves, Fish,  Chili,  Curry leaves, salt, Onion","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 10.0, 5.0, 0.25","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009, SLF006",1383,18.52,103.59,90.83,29.11,2629,130.2,557.86,3.96,749.43,294.88,292.83,90.98,1369,1146.84,471.3,1436.06,4.47,81.32,Lunch/Dinner
Vegetable Fried Rice,Ala Badun,Vegetable Fried Rice with Ala Badun,"Rice,  Vegetables, onion,  Spices, curry leaves, Potato,  Oil,  Salt","100.0, 20.0, 50.0, 5.0, 3.0, 2.5, 40.0, 30.0","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009, SLB006, SLJ002",2354,20.19,203.84,105.92,30.83,2629,130.39,560.36,4.01,759.26,352.85,316.67,95.06,1910,1284.16,493.88,1576.33,4.81,92.7,Lunch/Dinner
Vegetable Fried Rice,Cashew Curry,Vegetable Fried Rice with Cashew Curry,"Rice,  Vegetables, onion,  Spices, curry leaves, Cashew,  Coconut milk,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009, SLI004,  SLI005, SLK002",2002,39.27,149.51,121.22,37.59,2667.16,138.27,583.21,5.75,803.68,891.71,601.74,102.86,2393,8929.84,28688.44,9216.06,8.6,103.35,Lunch/Dinner
Vegetable Fried Rice,Green Pea Curry,Vegetable Fried Rice with Green Pea Curry,"Rice,  Vegetables, onion,  Spices, curry leaves, Green pea,  Coconut milk,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009, SLC007,  SLI005, SLK002",1712,42.77,105.28,142.65,50.63,2686.66,138.1,593.04,4.56,868.64,692.71,475.74,106.39,2875,1536.84,529.13,2511.06,6.1,128.22,Lunch/Dinner
Vegetable Fried Rice,Ginger Chicken,Vegetable Fried Rice with Ginger Chicken,"Rice,  Vegetables, onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009, SLH006, SLK012, SLK002",1654,46.17,114.4,105.51,37.95,2689.06,138.53,641.35,4.78,805.43,578.04,409.85,136.07,2451,2278.84,1562.55,2586.06,6.78,87.07,Lunch/Dinner
Vegetable Fried Rice,Fish Cutlets,Vegetable Fried Rice with Fish Cutlets,"Rice,  Vegetables, onion,  Spices, curry leaves, Fish,  Potatoes,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 50.0","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009, SLF034,  SLB006,  SLK002",1487,36.4,106.97,90.83,29.11,2643.42,130.2,558.76,5.63,792.81,505.88,323.72,176.8,1688,2850.84,1295.3,1946.06,4.47,81.32,Lunch/Dinner
Vegetable Fried Rice,Vegetable Cutlets,Vegetable Fried Rice with Vegetable Cutlets,"Rice,  Vegetables, onion,  Spices, curry leaves, Carrot,  Potatoes,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 40.0","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009,  SLB006,  SLK002",1383,18.52,103.59,90.83,29.11,2629,130.2,557.86,3.96,749.43,294.88,292.83,90.98,1369,1146.84,471.3,1436.06,4.47,81.32,Lunch/Dinner
Vegetable Fried Rice,Tapioca Chips,Vegetable Fried Rice with Tapioca Chips,"Rice,  Vegetables, onion,  Spices, curry leaves, Tapioca,  Oil,  Salt,  chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 20.0, 10.0","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009, SLB011,  SLJ002,  SLK002",1461,19.44,103.78,108.41,33.86,2629,130.33,557.86,4.13,769.21,339.78,316.56,101.73,1645,1205.33,481.18,1519.68,6.66,96.56,Lunch/Dinner
Vegetable Fried Rice,potatoe cheese Balls,Vegetable Fried Rice with potatoe cheese Balls,"Rice,  Vegetables, onion,  Spices, curry leaves, cheese,  Potatoes,  pepper","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 60.0","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009, SLG002,  SLB006,  SLK018",1763,38.27,131.86,102.5,29.11,2827,130.2,557.86,3.96,1392.43,850.88,292.83,1394.98,1369,1146.84,471.3,1436.06,4.47,81.32,Lunch/Dinner
Vegetable Fried Rice,Vegetable Balls,Vegetable Fried Rice with Vegetable Balls,"Rice,  Vegetables, onion,  Spices, curry leaves, Carrot,  leeks,  Jackfruit,  Potatoes","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 50.0, 10.0","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009,  SLD055,  SLD049,  SLB006,  SLK018",1383,18.52,103.59,90.83,29.11,2629,130.2,557.86,3.96,749.43,294.88,292.83,90.98,1369,1146.84,471.3,1436.06,4.47,81.32,Lunch/Dinner
Vegetable Fried Rice,Ginger Chicken,Vegetable Fried Rice with Ginger Chicken,"Rice,  Vegetables, onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0","SLA008, SLB002, SLD007, SLD060, SLI006, SLK004, SLK009, SLH006, SLK012, SLK002",1654,46.17,114.4,105.51,37.95,2689.06,138.53,641.35,4.78,805.43,578.04,409.85,136.07,2451,2278.84,1562.55,2586.06,6.78,87.07,Lunch/Dinner
Chicken Fried Rice,Chicken Curry,Chicken Fried Rice with Chicken Curry,"Rice,  Chicken,  onion,  Spices, curry leaves, Chicken,  Coconut milk","100.0, 50.0, 20.0, 15.0, 3.0, 2.5, 40.0","SLA008, SLH006, SLD060, SLI006, SLK004, SLK009",1529,40.81,112.38,85.79,24.72,1395.88,129.02,571.21,3.97,736.84,438.25,301.31,69.62,1421,1840.09,1433.94,1537.06,1.24,80.1,Lunch/Dinner
Chicken Fried Rice,Wambatu Moju,Chicken Fried Rice with Wambatu Moju,"Rice,  Chicken,  onion,  Spices, curry leaves, Eggplant,  Vinegar, onion, tomato sause","100.0, 50.0, 20.0, 5.5, 3.0, 2.5, 20.0, 5.0, 10.0","SLA008, SLH006, SLD060, SLI006, SLK004, SLK009, SLD017, SLD084",1529,40.81,112.38,85.79,24.72,1395.88,129.02,571.21,3.97,736.84,438.25,301.31,69.62,1421,1840.09,1433.94,1537.06,1.24,80.1,Lunch/Dinner
Chicken Fried Rice,Chicken Curry,Chicken Fried Rice with Chicken Curry,"Rice,  Chicken,  onion,  Spices, curry leaves, Chicken,  Coconut milk","100.0, 50.0, 20.0, 15.0, 3.0, 2.5, 40.0","SLA008, SLH006, SLD060, SLI006, SLK004, SLK009",1529,40.81,112.38,85.79,24.72,1395.88,129.02,571.21,3.97,736.84,438.25,301.31,69.62,1421,1840.09,1433.94,1537.06,1.24,80.1,Lunch/Dinner
Chicken Fried Rice,Devilled Chicken,Chicken Fried Rice with Devilled Chicken,"Rice,  Chicken,  onion,  Spices, curry leaves, Chicken,  Chili,  Curry leaves, salt, Onion","100.0, 50.0, 20.0, 5.0, 3.0, 2.5, 50.0, 10.0, 5.0, 0.25","SLA008, SLH006, SLD060, SLI006, SLK004, SLK009",1529,40.81,112.38,85.79,24.72,1395.88,129.02,571.21,3.97,736.84,438.25,301.31,69.62,1421,1840.09,1433.94,1537.06,1.24,80.1,Lunch/Dinner
Chicken Fried Rice,Devilled Fish,Chicken Fried Rice with Devilled Fish,"Rice,  Chicken,  onion,  Spices, curry leaves, Fish,  Chili,  Curry leaves, salt, Onion","100.0, 50.0, 20.0, 5.0, 3.0, 2.5, 50.0, 10.0, 5.0, 0.25","SLA008, SLH006, SLD060, SLI006, SLK004, SLK009, SLF006",1529,40.81,112.38,85.79,24.72,1395.88,129.02,571.21,3.97,736.84,438.25,301.31,69.62,1421,1840.09,1433.94,1537.06,1.24,80.1,Lunch/Dinner
Chicken Fried Rice,Ala Badun,Chicken Fried Rice with Ala Badun,"Rice,  Chicken,  onion,  Spices, curry leaves, Potato,  Oil,  Salt, onion","100.0, 50.0, 20.0, 5.0, 3.0, 2.5, 40.0, 30.0, 30.0","SLA008, SLH006, SLD060, SLI006, SLK004, SLK009, SLB006, SLJ002",2500,42.48,212.63,100.88,26.44,1395.88,129.21,573.71,4.02,746.67,496.22,325.15,73.7,1962,1977.41,1456.52,1677.33,1.58,91.48,Lunch/Dinner
Chicken Fried Rice,Cashew Curry,Chicken Fried Rice with Cashew Curry,"Rice,  Chicken,  onion,  Spices, curry leaves, Cashew,  Coconut milk,  Chillies","100.0, 50.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0","SLA008, SLH006, SLD060, SLI006, SLK004, SLK009, SLI004,  SLI005, SLK002",2148,61.56,158.3,116.18,33.2,1434.04,137.09,596.56,5.76,791.09,1035.08,610.22,81.5,2445,9623.09,29651.08,9317.06,5.37,102.13,Lunch/Dinner
Chicken Fried Rice,Green Pea Curry,Chicken Fried Rice with Green Pea Curry,"Rice,  Chicken,  onion,  Spices, curry leaves, Green pea,  Coconut milk,  Chillies","100.0, 50.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0","SLA008, SLH006, SLD060, SLI006, SLK004, SLK009, SLC007,  SLI005, SLK002",1858,65.06,114.07,137.61,46.24,1453.54,136.92,606.39,4.57,856.05,836.08,484.22,85.03,2927,2230.09,1491.77,2612.06,2.87,127,Lunch/Dinner
Chicken Fried Rice,Ginger Chicken,Chicken Fried Rice with Ginger Chicken,"Rice,  Chicken,  onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies","100.0, 50.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0","SLA008, SLH006, SLD060, SLI006, SLK004, SLK009, SLK012, SLK002",1624,45.32,113.95,100.47,33.56,1449.06,137.35,623.05,4.56,777.78,544.41,398.15,84.29,2201,2194.09,1541.19,2332.06,3.55,85.85,Lunch/Dinner
Chicken Fried Rice,Fish Cutlets,Chicken Fried Rice with Fish Cutlets,"Rice,  Chicken,  onion,  Spices, curry leaves, Fish,  Potatoes,  Chillies","100.0, 50.0, 20.0, 5.0, 3.0, 2.5, 30.0, 50.0","SLA008, SLH006, SLD060, SLI006, SLK004, SLK009, SLF034,  SLB006,  SLK002",1633,58.69,115.76,85.79,24.72,1410.3,129.02,572.11,5.64,780.22,649.25,332.2,155.44,1740,3544.09,2257.94,2047.06,1.24,80.1,Lunch/Dinner
Chicken Fried Rice,Vegetable Cutlets,Chicken Fried Rice with Vegetable Cutlets,"Rice,  Chicken,  onion,  Spices, curry leaves, Carrot,  Potatoes,  Chillies","100.0, 50.0, 20.0, 5.0, 3.0, 2.5, 30.0, 40.0","SLA008, SLH006, SLD060, SLI006, SLK004, SLK009, SLB002,  SLB006,  SLK002",1559,41.66,112.83,90.83,29.11,2635.88,130.2,589.51,4.19,764.49,471.88,313.01,121.4,1671,1924.84,1455.3,1791.06,4.47,81.32,Lunch/Dinner
Chicken Fried Rice,Tapioca Chips,Chicken Fried Rice with Tapioca Chips,"Rice,  Chicken,  onion,  Spices, curry leaves, Tapioca,  Oil,  Salt,  chillies","100.0, 50.0, 20.0, 5.0, 3.0, 2.5, 50.0, 20.0, 10.0","SLA008, SLH006, SLD060, SLI006, SLK004, SLK009, SLB011,  SLJ002,  SLK002",1607,41.73,112.57,103.37,29.47,1395.88,129.15,571.21,4.14,756.62,483.15,325.04,80.37,1697,1898.58,1443.82,1620.68,3.43,95.34,Lunch/Dinner
