Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids
Lamprais,Chicken Curry,Lamprais with Chicken Curry,"Rice,  Meat,  Spices,  Coconut milk","100.0, 70.0, 15.0, 10.0","SLA008, SLH006, SLK006, SLI005"
String Hoppers,Chicken Curry,String Hoppers with Chicken Curry,"Rice flour, Chicken,  Coconut milk,  Spices","85.0, 40.0, 10.0, 5.0","SLI019, SLH006, SLI005, SLK006"
String Hoppers,Pol Sambol,String Hoppers with Pol Sambol,"Rice flour, Coconut,  Chili,  Onion, Lime, Garlic","85.0, 50.0, 5.0, 10.0, 3.0, 3.0","SLI019, SLI005, SLK002, SLD060, SLE028, SLK011"
String Hoppers,Parippu,String Hoppers with Parippu,"Rice flour, Dhal,  Coconut milk, Termeric powder","85.0, 10.0, 10.0, 5.0","SLI019, SLC009, SLI005, SLK019"
String Hoppers,Jackfruit Curry,String Hoppers with Jackfruit Curry,"Rice flour, Jackfruit,  Coconut milk, curry leaves","85.0, 15.0, 10.0, 5.0","SLI019, SLD049, SLI005, SLK009"
String Hoppers,Chicken Curry,String Hoppers with Chicken Curry,"Rice flour, Chicken,  Coconut milk,  Spices","85.0, 40.0, 10.0, 5.0","SLI019, SLH006, SLI005, SLK006"
String Hoppers,Potato Curry,String Hoppers with Potato Curry,"Rice flour, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder","85.0, 20.0, 30.0, 10.0, 5.0, 2.0","SLI019, SLB006, SLI005, SLK006, SLK009, SKL019"
String Hoppers,Cuttlefish Curry,String Hoppers with Cuttlefish Curry,"Rice flour, Cuttlefish,  Coconut milk,  Spices","85.0, 50.0, 25.0, 10.0","SLI019, SLK007, SLI005, SLK006"
String Hoppers,Thalapath Fish Curry,String Hoppers with Thalapath Fish Curry,"Rice flour, Thalapath fish,  Coconut milk,  Spices","85.0, 50.0, 25.0, 10.0","SLI019, SLF019, SLI005, SLK006"
String Hoppers,Egg Curry,String Hoppers with Egg Curry,"Rice flour, Egg,  Coconut milk,  Chillies","85.0, 50.0, 25.0, 10.0","SLI019, SLH001,  SLI005, SLK002"
String Hoppers,Prawn Curry,String Hoppers with Prawn Curry,"Rice flour, Prawn,  Coconut milk,  Chillies","85.0, 50.0, 25.0, 10.0","SLI019, SLF043,  SLI005, SLK002"
String Hoppers,Kochchi Sambol,String Hoppers with Kochchi Sambol,"Rice flour, Green chili,  Coconut","85.0, 10.0, 30.0","SLI019, SLK002, SLI005"
String Hoppers,Coconut Sambol,String Hoppers with Coconut Sambol,"Rice flour, Coconut,  Chili,  Onion","85.0, 50.0, 15.0, 20.0","SLI019, SLI005,  SLK002, SLD060"
String Hoppers,Kiri Hodi,String Hoppers with Kiri Hodi,"Rice flour, Coconut milk","85.0, 60.0","SLI019, SLI005"
String Hoppers,Maalu Badun,String Hoppers with Maalu Badun,"Rice flour, Fish,  Oil","85.0, 90.0, 15.0","SLI019, SLF035, SLJ002"
String Hoppers,Spicy Crab,String Hoppers with Spicy Crab,"Rice flour, Crab,  Oil,  chillies","85.0, 70.0, 20.0, 10.0","SLI019, SLF045, SLJ002, SLK002"
Vegetable Fried Rice,Chicken Curry,Vegetable Fried Rice with Chicken Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk","100.0, 20.0, 20.0, 5.0, 8.0, 2.5, 40.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005"
Vegetable Fried Rice,Parippu,Vegetable Fried Rice with Parippu,"Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 10.0, 10.0, 5.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC009, SLI005, SLK019"
Vegetable Fried Rice,Wambatu Moju,Vegetable Fried Rice with Wambatu Moju,"Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause","100.0, 20.0, 20.0, 10.0, 3.0, 2.5, 20.0, 0.5, 5.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLD019, SLI017, "
Vegetable Fried Rice,Chicken Curry,Vegetable Fried Rice with Chicken Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk","100.0, 20.0, 20.0, 5.0, 8.0, 2.5, 40.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005"
Vegetable Fried Rice,Devilled Chicken,Vegetable Fried Rice with Devilled Chicken,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili","100.0, 20.0, 20.0, 25.0, 3.0, 12.5, 50.0, 5.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLK002"
Vegetable Fried Rice,Devilled Fish,Vegetable Fried Rice with Devilled Fish,"Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili","100.0, 20.0, 20.0, 25.0, 3.0, 7.5, 50.0, 5.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLF006, SLK002"
Vegetable Fried Rice,Ala Badun,Vegetable Fried Rice with Ala Badun,"Rice, carrot, leeks, onion,  Spices, curry leaves, Potato,  Oil","100.0, 20.0, 20.0, 35.0, 8.0, 2.5, 40.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLB006, SLJ002"
Vegetable Fried Rice,Cashew Curry,Vegetable Fried Rice with Cashew Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Cashew,  Coconut milk,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLI004,  SLI005, SLK002"
Vegetable Fried Rice,Green Pea Curry,Vegetable Fried Rice with Green Pea Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Green pea,  Coconut milk,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC007,  SLI005, SLK002"
Vegetable Fried Rice,Ginger Chicken,Vegetable Fried Rice with Ginger Chicken,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLK012, SLK002"
Vegetable Fried Rice,Fish Cutlets,Vegetable Fried Rice with Fish Cutlets,"Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Potatoes,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLF034,  SLB006,  SLK002"
Vegetable Fried Rice,Vegetable Cutlets,Vegetable Fried Rice with Vegetable Cutlets,"Rice, carrot, leeks, onion,  Spices, curry leaves,  Potatoes,  Chillies","100.0, 50.0, 20.0, 5.0, 3.0, 2.5, 40.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009,  SLB006,  SLK002"
Vegetable Fried Rice,Tapioca Chips,Vegetable Fried Rice with Tapioca Chips,"Rice, carrot, leeks, onion,  Spices, curry leaves, Tapioca,  Oil,  Salt","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 20.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLB011,  SLJ002,  SLK002"
Vegetable Fried Rice,potatoe cheese Balls,Vegetable Fried Rice with potatoe cheese Balls,"Rice, carrot, leeks, onion,  Spices, curry leaves, cheese,  Potatoes,  pepper","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 60.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLG002,  SLB006,  SLK018"
Vegetable Fried Rice,Vegetable Balls,Vegetable Fried Rice with Vegetable Balls,"Rice, carrot, leeks, onion,  Spices, curry leaves,  leeks,  Jackfruit,  Potatoes,  pepper","100.0, 50.0, 20.0, 5.0, 3.0, 2.5, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009,  SLD055,  SLD049"
Vegetable Fried Rice,Ginger Chicken,Vegetable Fried Rice with Ginger Chicken,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLK012, SLK002"
Chicken Fried Rice,Chicken Curry,Chicken Fried Rice with Chicken Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Coconut milk","100.0, 60.0, 20.0, 20.0, 5.0, 5.0, 40.0, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLI005"
Chicken Fried Rice,Wambatu Moju,Chicken Fried Rice with Wambatu Moju,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, tomato sause","100.0, 50.0, 25.0, 20.0, 5.0, 5.0, 20.0, 0.5, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLD019, SLI017"
Chicken Fried Rice,Chicken Curry,Chicken Fried Rice with Chicken Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Coconut milk","100.0, 60.0, 20.0, 20.0, 5.0, 5.0, 40.0, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLI005"
Chicken Fried Rice,Devilled Chicken,Chicken Fried Rice with Devilled Chicken,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Chili","100.0, 55.0, 20.0, 20.0, 5.0, 5.0, 70.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLK002"
Chicken Fried Rice,Devilled Fish,Chicken Fried Rice with Devilled Fish,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Chili","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 70.0, 5.0, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLF006, SLK002"
Chicken Fried Rice,Ala Badun,Chicken Fried Rice with Ala Badun,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Potato,  Oil","100.0, 50.0, 25.0, 20.0, 5.0, 5.0, 40.0, 10.0, 30.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLB006, SLJ002"
Chicken Fried Rice,Cashew Curry,Chicken Fried Rice with Cashew Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Cashew,  Coconut milk,  Chillies","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 25.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLI004,  SLI005"
Chicken Fried Rice,Green Pea Curry,Chicken Fried Rice with Green Pea Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Green pea,  Coconut milk,  Chillies","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 25.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLC007,  SLI005"
Chicken Fried Rice,Ginger Chicken,Chicken Fried Rice with Ginger Chicken,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Ginger,  Chillies","100.0, 75.0, 20.0, 20.0, 5.0, 5.0, 50.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLK012"
Chicken Fried Rice,Fish Cutlets,Chicken Fried Rice with Fish Cutlets,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Potatoes,  Chillies","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 30.0, 50.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLF034,  SLB006"
Chicken Fried Rice,Vegetable Cutlets,Chicken Fried Rice with Vegetable Cutlets,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Potatoes,  Chillies","100.0, 50.0, 20.0, 60.0, 5.0, 5.0, 30.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009,  SLB006"
Chicken Fried Rice,Tapioca Chips,Chicken Fried Rice with Tapioca Chips,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Tapioca,  Oil,  Salt","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 20.0, 10.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLB011,  SLJ002,  SLK002"
Chicken Fried Rice,potatoe cheese Balls,Chicken Fried Rice with potatoe cheese Balls,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, cheese,  Potatoes,  pepper","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 30.0, 60.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLG002,  SLB006"
Chicken Fried Rice,Vegetable Balls,Chicken Fried Rice with Vegetable Balls,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  leeks,  Jackfruit,  Potatoes,  pepper","100.0, 50.0, 20.0, 70.0, 5.0, 5.0, 30.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009,  SLD055"
Chicken Fried Rice,Ginger Chicken,Chicken Fried Rice with Ginger Chicken,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves,  Ginger,  Chillies","100.0, 75.0, 20.0, 20.0, 5.0, 5.0, 50.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLK012"
Egg Fried Rice,Chicken Curry,Egg Fried Rice with Chicken Curry,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Coconut milk","100.0, 30.0, 10.0, 15.0, 3.0, 2.5, 20.0, 20.0, 40.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLH006, SLI005"
Egg Fried Rice,Wambatu Moju,Egg Fried Rice with Wambatu Moju,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Eggplant,  Vinegar, tomato sause","100.0, 30.0, 10.5, 5.0, 3.0, 2.5, 20.0, 20.0, 20.0, 5.0, 5.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLD019, SLI017, , SLD082"
Egg Fried Rice,Chicken Curry,Egg Fried Rice with Chicken Curry,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Coconut milk","100.0, 30.0, 10.0, 15.0, 3.0, 2.5, 20.0, 20.0, 40.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLH006, SLI005"
Egg Fried Rice,Devilled Chicken,Egg Fried Rice with Devilled Chicken,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Chili","100.0, 30.0, 20.0, 5.0, 8.0, 2.5, 20.0, 20.0, 50.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLH006, SLK002"
Egg Fried Rice,Devilled Fish,Egg Fried Rice with Devilled Fish,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Fish,  Chili","100.0, 30.0, 15.0, 5.0, 8.0, 2.5, 20.0, 20.0, 50.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLF006, SLK002"
Egg Fried Rice,Ala Badun,Egg Fried Rice with Ala Badun,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Potato,  Oil","100.0, 30.0, 20.0, 35.0, 3.0, 2.5, 20.0, 20.0, 40.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLB006, SLJ002"
Egg Fried Rice,Cashew Curry,Egg Fried Rice with Cashew Curry,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Cashew,  Coconut milk,  Chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 25.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLI004,  SLI005, SLK002"
Egg Fried Rice,Ginger Chicken,Egg Fried Rice with Ginger Chicken,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Ginger,  Chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 25.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLH006, SLK012, SLK002"
Egg Fried Rice,Fish Cutlets,Egg Fried Rice with Fish Cutlets,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Fish,  Potatoes,  Chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 30.0, 50.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLF034,  SLB006,  SLK002"
Egg Fried Rice,Vegetable Cutlets,Egg Fried Rice with Vegetable Cutlets,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks,  Potatoes,  Chillies","100.0, 30.0, 10.0, 5.0, 3.0, 22.5, 20.0, 30.0, 40.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055,  SLB006,  SLK002"
Egg Fried Rice,Tapioca Chips,Egg Fried Rice with Tapioca Chips,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Tapioca,  Oil,  Salt","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 20.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLB011,  SLJ002,  SLK002"
Egg Fried Rice,potatoe cheese Balls,Egg Fried Rice with potatoe cheese Balls,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, cheese,  Potatoes,  pepper","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 30.0, 60.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLG002,  SLB006,  SLK018"
Egg Fried Rice,Vegetable Balls,Egg Fried Rice with Vegetable Balls,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks,  leeks,  Jackfruit,  Potatoes,  pepper","100.0, 30.0, 10.0, 5.0, 3.0, 22.5, 20.0, 30.0, 50.0, 10.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055,  SLD055,  SLD049,  SLB006"
Egg Fried Rice,Ginger Chicken,Egg Fried Rice with Ginger Chicken,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Ginger,  Chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 25.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLH006, SLK012, SLK002"
Seafood Fried Rice,Chicken Curry,Seafood Fried Rice with Chicken Curry,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Chicken,  Coconut milk,  Spices","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 40.0, 10.0, 5.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLH006"
Seafood Fried Rice,Chicken Curry,Seafood Fried Rice with Chicken Curry,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Chicken,  Coconut milk,  Spices","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 40.0, 10.0, 5.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLH006"
Seafood Fried Rice,Devilled Chicken,Seafood Fried Rice with Devilled Chicken,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Chicken,  Chili,  Curry leaves, Onion","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 5.0, 10.0, 20.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLH006, SLK002"
Seafood Fried Rice,Devilled Fish,Seafood Fried Rice with Devilled Fish,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Fish,  Chili, Onion","100.0, 10.0, 10.0, 10.0, 3.0, 2.0, 50.0, 5.0, 20.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLK002"
Seafood Fried Rice,Ala Badun,Seafood Fried Rice with Ala Badun,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Potato,  Oil, onion, chilli","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 40.0, 10.0, 30.0, 5.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLB006, SLJ002"
Seafood Fried Rice,Cashew Curry,Seafood Fried Rice with Cashew Curry,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Cashew,  Coconut milk,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 25.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLI004"
Seafood Fried Rice,Octopus Curry,Seafood Fried Rice with Octopus Curry,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Octopus,  Coconut milk,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 25.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLF042"
Seafood Fried Rice,Ginger Chicken,Seafood Fried Rice with Ginger Chicken,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Chicken,  Ginger,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 25.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLH006"
Seafood Fried Rice,Fish Cutlets,Seafood Fried Rice with Fish Cutlets,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Fish,  Potatoes,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 30.0, 50.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLF034"
Seafood Fried Rice,Vegetable Cutlets,Seafood Fried Rice with Vegetable Cutlets,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Carrot,  Potatoes,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 30.0, 40.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLB002"
Seafood Fried Rice,Tapioca Chips,Seafood Fried Rice with Tapioca Chips,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Tapioca,  Oil,  Salt,  chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 20.0, 10.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLB011,  SLJ002"
Seafood Fried Rice,potatoe cheese Balls,Seafood Fried Rice with potatoe cheese Balls,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, cheese,  Potatoes,  pepper","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 30.0, 60.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLG002"
Seafood Fried Rice,Vegetable Balls,Seafood Fried Rice with Vegetable Balls,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 30.0, 50.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLB002"
Seafood Fried Rice,Ginger Chicken,Seafood Fried Rice with Ginger Chicken,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Chicken,  Ginger,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 25.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLH006"
Vegetable Kottu,Chicken Curry,Vegetable Kottu with Chicken Curry,"Flour,  Carrot,  leeks,  Chilli, Chicken,  Coconut milk,  Spices","70.0, 20.0, 20.0, 20.0, 40.0, 10.0, 5.0","SLA018,  SLB002,  SLD055,  SLK002, SLH006, SLI005, SLK006"
